Time,Value
4/12/2016 7:28:25 AM,77
4/12/2016 7:28:40 AM,77
4/12/2016 7:28:45 AM,81
4/12/2016 7:28:50 AM,82
4/12/2016 7:28:55 AM,79
4/12/2016 7:29:00 AM,78
4/12/2016 7:29:05 AM,82
4/12/2016 7:29:20 AM,80
4/12/2016 7:29:30 AM,78
4/12/2016 7:29:35 AM,77
4/12/2016 7:29:40 AM,75
4/12/2016 7:29:45 AM,74
4/12/2016 7:30:00 AM,74
4/12/2016 7:30:10 AM,78
4/12/2016 7:30:15 AM,77
4/12/2016 7:30:30 AM,76
4/12/2016 7:30:45 AM,78
4/12/2016 7:30:55 AM,77
4/12/2016 7:31:10 AM,78
4/12/2016 7:31:15 AM,79
4/12/2016 7:31:25 AM,77
4/12/2016 7:31:30 AM,76
4/12/2016 7:31:35 AM,79
4/12/2016 7:31:45 AM,76
4/12/2016 7:32:00 AM,77
4/12/2016 7:32:05 AM,76
4/12/2016 7:32:10 AM,77
4/12/2016 7:32:20 AM,75
4/12/2016 7:32:25 AM,75
4/12/2016 7:32:35 AM,74
4/12/2016 7:32:45 AM,75
4/12/2016 7:32:50 AM,77
4/12/2016 7:32:55 AM,78
4/12/2016 7:33:00 AM,80
4/12/2016 7:33:10 AM,79
4/12/2016 7:33:15 AM,80
4/12/2016 7:33:20 AM,79
4/12/2016 7:33:25 AM,82
4/12/2016 7:33:35 AM,84
4/12/2016 7:33:40 AM,85
4/12/2016 7:33:45 AM,86
4/12/2016 7:33:50 AM,86
4/12/2016 7:33:55 AM,85
4/12/2016 7:34:00 AM,84
4/12/2016 7:34:05 AM,84
4/12/2016 7:34:20 AM,80
4/12/2016 7:34:25 AM,80
4/12/2016 7:34:30 AM,79
4/12/2016 7:34:35 AM,78
4/12/2016 7:34:40 AM,77
4/12/2016 7:34:45 AM,78
4/12/2016 7:34:50 AM,79
4/12/2016 7:35:05 AM,80
4/12/2016 7:35:20 AM,77
4/12/2016 7:35:25 AM,76
4/12/2016 7:35:30 AM,80
4/12/2016 7:35:35 AM,83
4/12/2016 7:35:45 AM,83
4/12/2016 7:35:55 AM,81
4/12/2016 7:36:00 AM,81
4/12/2016 7:36:15 AM,80
4/12/2016 7:36:20 AM,81
4/12/2016 7:36:25 AM,81
4/12/2016 7:36:35 AM,82
4/12/2016 7:36:40 AM,81
4/12/2016 7:36:55 AM,81
4/12/2016 7:37:10 AM,80
4/12/2016 7:37:15 AM,81
4/12/2016 7:37:20 AM,80
4/12/2016 7:37:25 AM,81
4/12/2016 7:37:40 AM,81
4/12/2016 7:37:45 AM,78
4/12/2016 7:37:50 AM,79
4/12/2016 7:37:55 AM,73
4/12/2016 7:38:00 AM,73
4/12/2016 7:38:10 AM,74
4/12/2016 7:38:15 AM,77
4/12/2016 7:38:20 AM,71
4/12/2016 7:38:25 AM,71
4/12/2016 7:38:40 AM,71
4/12/2016 7:38:55 AM,73
4/12/2016 7:39:05 AM,70
4/12/2016 7:39:10 AM,71
4/12/2016 7:39:15 AM,71
4/12/2016 7:39:30 AM,75
4/12/2016 7:39:35 AM,77
4/12/2016 7:39:40 AM,79
4/12/2016 7:39:55 AM,80
4/12/2016 7:40:00 AM,79
4/12/2016 7:40:10 AM,81
4/12/2016 7:40:15 AM,80
4/12/2016 7:40:20 AM,79
4/12/2016 7:40:25 AM,79
4/12/2016 7:40:35 AM,79
4/12/2016 7:40:40 AM,78
4/12/2016 7:40:45 AM,78
4/12/2016 7:40:50 AM,80
4/12/2016 7:40:55 AM,79
4/12/2016 7:41:05 AM,78
4/12/2016 7:41:10 AM,77
4/12/2016 7:41:15 AM,76
4/12/2016 7:41:20 AM,77
4/12/2016 7:41:25 AM,80
4/12/2016 7:41:30 AM,79
4/12/2016 7:41:40 AM,76
4/12/2016 7:41:50 AM,75
4/12/2016 7:42:00 AM,77
4/12/2016 7:42:10 AM,83
4/12/2016 7:42:20 AM,83
4/12/2016 7:42:35 AM,82
4/12/2016 7:42:50 AM,81
4/12/2016 7:43:05 AM,81
4/12/2016 7:43:20 AM,81
4/12/2016 7:43:25 AM,81
4/12/2016 7:43:30 AM,81
4/12/2016 7:43:40 AM,80
4/12/2016 7:43:55 AM,79
4/12/2016 7:44:10 AM,80
4/12/2016 7:44:20 AM,79
4/12/2016 7:44:25 AM,81
4/12/2016 7:44:30 AM,85
4/12/2016 7:44:40 AM,83
4/12/2016 7:44:45 AM,83
4/12/2016 7:44:50 AM,82
4/12/2016 7:44:55 AM,80
4/12/2016 7:45:00 AM,77
4/12/2016 7:45:10 AM,76
4/12/2016 7:45:25 AM,76
4/12/2016 7:45:30 AM,75
4/12/2016 7:45:35 AM,76
4/12/2016 7:45:40 AM,79
4/12/2016 7:45:45 AM,78
4/12/2016 7:45:55 AM,77
4/12/2016 7:46:00 AM,76
4/12/2016 7:46:05 AM,75
4/12/2016 7:46:15 AM,76
4/12/2016 7:46:25 AM,75
4/12/2016 7:46:30 AM,74
4/12/2016 7:46:35 AM,76
4/12/2016 7:46:40 AM,77
4/12/2016 7:46:45 AM,76
4/12/2016 7:46:50 AM,77
4/12/2016 7:47:05 AM,76
4/12/2016 7:47:10 AM,75
4/12/2016 7:47:20 AM,76
4/12/2016 7:47:25 AM,79
4/12/2016 7:47:35 AM,80
4/12/2016 7:47:40 AM,79
4/12/2016 7:47:45 AM,79
4/12/2016 7:47:50 AM,79
4/12/2016 7:47:55 AM,80
4/12/2016 7:48:00 AM,81
4/12/2016 7:48:15 AM,81
4/12/2016 7:48:20 AM,83
4/12/2016 7:48:25 AM,86
4/12/2016 7:48:35 AM,88
4/12/2016 7:48:40 AM,87
4/12/2016 7:48:45 AM,88
4/12/2016 7:48:50 AM,89
4/12/2016 7:49:05 AM,90
4/12/2016 7:49:15 AM,89
4/12/2016 7:49:20 AM,88
4/12/2016 7:49:25 AM,89
4/12/2016 7:49:30 AM,87
4/12/2016 7:49:35 AM,86
4/12/2016 7:49:45 AM,85
4/12/2016 7:49:50 AM,83
4/12/2016 7:49:55 AM,81
4/12/2016 7:50:00 AM,78
4/12/2016 7:50:05 AM,77
4/12/2016 7:50:10 AM,78
4/12/2016 7:50:20 AM,85
4/12/2016 7:50:25 AM,86
4/12/2016 7:50:30 AM,85
4/12/2016 7:50:35 AM,79
4/12/2016 7:50:40 AM,78
4/12/2016 7:50:45 AM,76
4/12/2016 7:51:00 AM,71
4/12/2016 7:51:05 AM,71
4/12/2016 7:51:10 AM,69
4/12/2016 7:51:20 AM,73
4/12/2016 7:51:30 AM,73
4/12/2016 7:51:40 AM,77
4/12/2016 7:51:50 AM,74
4/12/2016 7:52:00 AM,72
4/12/2016 7:52:05 AM,71
4/12/2016 7:52:20 AM,73
4/12/2016 7:52:25 AM,71
4/12/2016 7:52:40 AM,71
4/12/2016 7:52:50 AM,73
4/12/2016 7:53:00 AM,74
4/12/2016 7:53:10 AM,78
4/12/2016 7:53:20 AM,75
4/12/2016 7:53:35 AM,75
4/12/2016 7:53:40 AM,78
4/12/2016 7:53:50 AM,74
4/12/2016 7:54:00 AM,71
4/12/2016 7:54:10 AM,74
4/12/2016 7:54:20 AM,76
4/12/2016 7:54:35 AM,76
4/12/2016 7:54:40 AM,74
4/12/2016 7:54:50 AM,76
4/12/2016 7:55:00 AM,77
4/12/2016 7:55:10 AM,71
4/12/2016 7:55:20 AM,68
4/12/2016 7:55:30 AM,70
4/12/2016 7:55:40 AM,71
4/12/2016 7:55:50 AM,73
4/12/2016 7:56:00 AM,76
4/12/2016 7:56:10 AM,81
4/12/2016 7:56:20 AM,80
4/12/2016 7:56:30 AM,78
4/12/2016 7:56:40 AM,77
4/12/2016 7:56:50 AM,74
4/12/2016 7:57:00 AM,73
4/12/2016 7:57:10 AM,70
4/12/2016 7:57:20 AM,71
4/12/2016 7:57:30 AM,75
4/12/2016 7:57:45 AM,75
4/12/2016 7:57:50 AM,77
4/12/2016 7:58:00 AM,78
4/12/2016 7:58:10 AM,76
4/12/2016 7:58:20 AM,75
4/12/2016 7:58:30 AM,77
4/12/2016 7:58:40 AM,78
4/12/2016 7:58:50 AM,74
4/12/2016 7:59:00 AM,75
4/12/2016 7:59:10 AM,75
4/12/2016 7:59:20 AM,77
4/12/2016 7:59:25 AM,76
4/12/2016 7:59:30 AM,76
4/12/2016 7:59:40 AM,75
4/12/2016 7:59:45 AM,75
4/12/2016 7:59:55 AM,76
4/12/2016 8:00:05 AM,75
4/12/2016 8:00:10 AM,76
4/12/2016 8:00:20 AM,77
4/12/2016 8:00:25 AM,78
4/12/2016 8:00:30 AM,80
4/12/2016 8:00:35 AM,82
4/12/2016 8:00:50 AM,81
4/12/2016 8:00:55 AM,81
4/12/2016 8:01:00 AM,79
4/12/2016 8:01:15 AM,78
4/12/2016 8:01:20 AM,77
4/12/2016 8:01:25 AM,76
4/12/2016 8:01:30 AM,75
4/12/2016 8:01:40 AM,74
4/12/2016 8:01:45 AM,72
4/12/2016 8:01:50 AM,73
4/12/2016 8:01:55 AM,69
4/12/2016 8:02:10 AM,80
4/12/2016 8:02:15 AM,80
4/12/2016 8:02:30 AM,80
4/12/2016 8:02:40 AM,79
4/12/2016 8:02:45 AM,81
4/12/2016 8:02:50 AM,80
4/12/2016 8:02:55 AM,78
4/12/2016 8:03:00 AM,78
4/12/2016 8:03:15 AM,78
4/12/2016 8:03:20 AM,77
4/12/2016 8:03:25 AM,76
4/12/2016 8:03:35 AM,77
4/12/2016 8:03:40 AM,76
4/12/2016 8:03:50 AM,79
4/12/2016 8:03:55 AM,81
4/12/2016 8:04:00 AM,85
4/12/2016 8:04:05 AM,87
4/12/2016 8:04:15 AM,88
4/12/2016 8:04:30 AM,88
4/12/2016 8:04:35 AM,86
4/12/2016 8:04:50 AM,86
4/12/2016 8:04:55 AM,84
4/12/2016 8:05:00 AM,83
4/12/2016 8:05:05 AM,82
4/12/2016 8:05:10 AM,81
4/12/2016 8:05:25 AM,81
4/12/2016 8:05:30 AM,80
4/12/2016 8:05:35 AM,81
4/12/2016 8:05:40 AM,84
4/12/2016 8:05:45 AM,86
4/12/2016 8:05:50 AM,88
4/12/2016 8:05:55 AM,90
4/12/2016 8:06:00 AM,90
4/12/2016 8:06:05 AM,88
4/12/2016 8:06:10 AM,88
4/12/2016 8:06:15 AM,89
4/12/2016 8:06:20 AM,93
4/12/2016 8:06:25 AM,91
4/12/2016 8:06:30 AM,89
4/12/2016 8:06:35 AM,88
4/12/2016 8:06:40 AM,89
4/12/2016 8:06:55 AM,94
4/12/2016 8:07:00 AM,97
4/12/2016 8:07:05 AM,98
4/12/2016 8:07:10 AM,97
4/12/2016 8:07:25 AM,95
4/12/2016 8:07:30 AM,92
4/12/2016 8:07:35 AM,90
4/12/2016 8:07:45 AM,89
4/12/2016 8:07:55 AM,88
4/12/2016 8:08:05 AM,85
4/12/2016 8:08:20 AM,85
4/12/2016 8:08:30 AM,84
4/12/2016 8:08:45 AM,84
4/12/2016 8:08:50 AM,83
4/12/2016 8:09:00 AM,82
4/12/2016 8:09:10 AM,80
4/12/2016 8:09:15 AM,78
4/12/2016 8:09:25 AM,77
4/12/2016 8:09:30 AM,77
4/12/2016 8:09:40 AM,78
4/12/2016 8:09:55 AM,72
4/12/2016 8:10:05 AM,71
4/12/2016 8:10:20 AM,71
4/12/2016 8:10:35 AM,71
4/12/2016 8:10:50 AM,70
4/12/2016 8:11:00 AM,68
4/12/2016 8:11:15 AM,68
4/12/2016 8:11:20 AM,59
4/12/2016 8:11:25 AM,58
4/12/2016 8:11:40 AM,59
4/12/2016 8:11:55 AM,58
4/12/2016 8:12:05 AM,59
4/12/2016 8:12:15 AM,60
4/12/2016 8:12:20 AM,61
4/12/2016 8:12:25 AM,62
4/12/2016 8:12:40 AM,63
4/12/2016 8:12:45 AM,64
4/12/2016 8:13:00 AM,64
4/12/2016 8:13:15 AM,64
4/12/2016 8:13:20 AM,68
4/12/2016 8:13:25 AM,67
4/12/2016 8:13:35 AM,70
4/12/2016 8:13:50 AM,69
4/12/2016 8:14:00 AM,67
4/12/2016 8:14:05 AM,67
4/12/2016 8:14:20 AM,68
4/12/2016 8:14:35 AM,68
4/12/2016 8:14:50 AM,68
4/12/2016 8:15:00 AM,67
4/12/2016 8:15:15 AM,68
4/12/2016 8:15:20 AM,68
4/12/2016 8:15:25 AM,69
4/12/2016 8:15:30 AM,70
4/12/2016 8:15:35 AM,69
4/12/2016 8:15:40 AM,67
4/12/2016 8:15:50 AM,66
4/12/2016 8:16:00 AM,63
4/12/2016 8:16:05 AM,64
4/12/2016 8:16:10 AM,64
4/12/2016 8:16:25 AM,64
4/12/2016 8:16:35 AM,65
4/12/2016 8:16:45 AM,64
4/12/2016 8:17:00 AM,65
4/12/2016 8:17:15 AM,65
4/12/2016 8:17:30 AM,66
4/12/2016 8:17:40 AM,68
4/12/2016 8:17:45 AM,69
4/12/2016 8:17:50 AM,70
4/12/2016 8:17:55 AM,71
4/12/2016 8:18:00 AM,73
4/12/2016 8:18:10 AM,80
4/12/2016 8:18:20 AM,80
4/12/2016 8:18:30 AM,86
4/12/2016 8:18:40 AM,85
4/12/2016 8:18:50 AM,78
4/12/2016 8:19:00 AM,75
4/12/2016 8:19:10 AM,80
4/12/2016 8:19:20 AM,82
4/12/2016 8:19:25 AM,82
4/12/2016 8:19:40 AM,82
4/12/2016 8:19:50 AM,81
4/12/2016 8:20:00 AM,79
4/12/2016 8:20:10 AM,78
4/12/2016 8:20:15 AM,77
4/12/2016 8:20:30 AM,77
4/12/2016 8:20:45 AM,77
4/12/2016 8:21:00 AM,77
4/12/2016 8:21:15 AM,79
4/12/2016 8:21:20 AM,82
4/12/2016 8:21:25 AM,84
4/12/2016 8:21:30 AM,87
4/12/2016 8:21:45 AM,87
4/12/2016 8:22:00 AM,89
4/12/2016 8:22:05 AM,92
4/12/2016 8:22:10 AM,93
4/12/2016 8:22:15 AM,95
4/12/2016 8:22:20 AM,96
4/12/2016 8:22:25 AM,96
4/12/2016 8:22:30 AM,91
4/12/2016 8:22:35 AM,90
4/12/2016 8:22:40 AM,85
4/12/2016 8:22:45 AM,83
4/12/2016 8:22:50 AM,81
4/12/2016 8:22:55 AM,78
4/12/2016 8:23:00 AM,77
4/12/2016 8:23:15 AM,77
4/12/2016 8:23:20 AM,76
4/12/2016 8:23:30 AM,75
4/12/2016 8:23:40 AM,73
4/12/2016 8:23:45 AM,73
4/12/2016 8:24:00 AM,74
4/12/2016 8:24:10 AM,74
4/12/2016 8:24:20 AM,72
4/12/2016 8:24:35 AM,70
4/12/2016 8:24:40 AM,69
4/12/2016 8:24:50 AM,70
4/12/2016 8:25:00 AM,69
4/12/2016 8:25:10 AM,74
4/12/2016 8:25:20 AM,77
4/12/2016 8:25:25 AM,76
4/12/2016 8:25:30 AM,75
4/12/2016 8:25:40 AM,75
4/12/2016 8:25:50 AM,79
4/12/2016 8:26:00 AM,79
4/12/2016 8:26:15 AM,79
4/12/2016 8:26:20 AM,76
4/12/2016 8:26:30 AM,83
4/12/2016 8:26:40 AM,77
4/12/2016 8:26:50 AM,75
4/12/2016 8:27:00 AM,73
4/12/2016 8:27:10 AM,71
4/12/2016 8:27:20 AM,76
4/12/2016 8:27:30 AM,77
4/12/2016 8:27:40 AM,76
4/12/2016 8:27:55 AM,76
4/12/2016 8:28:00 AM,75
4/12/2016 8:28:05 AM,73
4/12/2016 8:28:20 AM,79
4/12/2016 8:28:30 AM,77
4/12/2016 8:28:40 AM,74
4/12/2016 8:28:50 AM,75
4/12/2016 8:29:05 AM,76
4/12/2016 8:29:10 AM,77
4/12/2016 8:29:15 AM,78
4/12/2016 8:29:30 AM,78
4/12/2016 8:29:40 AM,88
4/12/2016 8:29:50 AM,85
4/12/2016 8:30:00 AM,83
4/12/2016 8:30:10 AM,78
4/12/2016 8:30:25 AM,78
4/12/2016 8:30:30 AM,81
4/12/2016 8:30:40 AM,84
4/12/2016 8:30:50 AM,76
4/12/2016 8:31:00 AM,77
4/12/2016 8:31:15 AM,77
4/12/2016 8:31:20 AM,86
4/12/2016 8:31:30 AM,82
4/12/2016 8:31:40 AM,79
4/12/2016 8:31:50 AM,78
4/12/2016 8:32:00 AM,76
4/12/2016 8:32:10 AM,79
4/12/2016 8:32:20 AM,77
4/12/2016 8:32:30 AM,72
4/12/2016 8:32:40 AM,75
4/12/2016 8:32:50 AM,74
4/12/2016 8:32:55 AM,78
4/12/2016 8:33:10 AM,78
4/12/2016 8:33:20 AM,79
4/12/2016 8:33:30 AM,78
4/12/2016 8:33:40 AM,82
4/12/2016 8:33:50 AM,83
4/12/2016 8:34:00 AM,85
4/12/2016 8:34:05 AM,86
4/12/2016 8:34:10 AM,85
4/12/2016 8:34:25 AM,85
4/12/2016 8:34:40 AM,85
4/12/2016 8:34:45 AM,84
4/12/2016 8:34:50 AM,84
4/12/2016 8:35:05 AM,84
4/12/2016 8:35:15 AM,85
4/12/2016 8:35:30 AM,85
4/12/2016 8:35:45 AM,85
4/12/2016 8:35:50 AM,85
4/12/2016 8:36:00 AM,85
4/12/2016 8:36:10 AM,83
4/12/2016 8:36:25 AM,83
4/12/2016 8:36:35 AM,84
4/12/2016 8:36:40 AM,83
4/12/2016 8:36:50 AM,79
4/12/2016 8:36:55 AM,78
4/12/2016 8:37:10 AM,78
4/12/2016 8:37:15 AM,80
4/12/2016 8:37:20 AM,80
4/12/2016 8:37:25 AM,79
4/12/2016 8:37:40 AM,78
4/12/2016 8:37:45 AM,80
4/12/2016 8:37:50 AM,83
4/12/2016 8:37:55 AM,85
4/12/2016 8:38:00 AM,84
4/12/2016 8:38:05 AM,83
4/12/2016 8:38:10 AM,88
4/12/2016 8:38:15 AM,89
4/12/2016 8:38:20 AM,91
4/12/2016 8:38:25 AM,89
4/12/2016 8:38:30 AM,91
4/12/2016 8:38:35 AM,92
4/12/2016 8:38:40 AM,93
4/12/2016 8:38:45 AM,95
4/12/2016 8:38:50 AM,94
4/12/2016 8:39:00 AM,95
4/12/2016 8:39:05 AM,96
4/12/2016 8:39:10 AM,98
4/12/2016 8:39:15 AM,102
4/12/2016 8:39:20 AM,107
4/12/2016 8:39:25 AM,106
4/12/2016 8:39:30 AM,103
4/12/2016 8:39:35 AM,104
4/12/2016 8:39:40 AM,105
4/12/2016 8:39:45 AM,106
4/12/2016 8:39:50 AM,108
4/12/2016 8:40:00 AM,113
4/12/2016 8:40:05 AM,121
4/12/2016 8:40:10 AM,125
4/12/2016 8:40:15 AM,123
4/12/2016 8:40:20 AM,129
4/12/2016 8:40:25 AM,137
4/12/2016 8:40:30 AM,144
4/12/2016 8:40:35 AM,146
4/12/2016 8:40:40 AM,150
4/12/2016 8:40:45 AM,155
4/12/2016 8:40:50 AM,160
4/12/2016 8:40:55 AM,164
4/12/2016 8:41:00 AM,166
4/12/2016 8:41:05 AM,168
4/12/2016 8:41:10 AM,169
4/12/2016 8:41:15 AM,168
4/12/2016 8:41:20 AM,164
4/12/2016 8:41:25 AM,168
4/12/2016 8:41:30 AM,169
4/12/2016 8:41:35 AM,170
4/12/2016 8:41:45 AM,171
4/12/2016 8:41:50 AM,170
4/12/2016 8:41:55 AM,171
4/12/2016 8:42:00 AM,172
4/12/2016 8:42:05 AM,171
4/12/2016 8:42:15 AM,170
4/12/2016 8:42:30 AM,169
4/12/2016 8:42:35 AM,166
4/12/2016 8:42:50 AM,166
4/12/2016 8:42:55 AM,165
4/12/2016 8:43:00 AM,164
4/12/2016 8:43:05 AM,161
4/12/2016 8:43:10 AM,160
4/12/2016 8:43:15 AM,156
4/12/2016 8:43:20 AM,151
4/12/2016 8:43:25 AM,144
4/12/2016 8:43:30 AM,137
4/12/2016 8:43:35 AM,135
4/12/2016 8:43:40 AM,140
4/12/2016 8:43:45 AM,146
4/12/2016 8:43:55 AM,145
4/12/2016 8:44:05 AM,146
4/12/2016 8:44:10 AM,148
4/12/2016 8:44:15 AM,146
4/12/2016 8:44:20 AM,144
4/12/2016 8:44:25 AM,142
4/12/2016 8:44:30 AM,143
4/12/2016 8:44:35 AM,144
4/12/2016 8:44:50 AM,144
4/12/2016 8:44:55 AM,142
4/12/2016 8:45:00 AM,141
4/12/2016 8:45:05 AM,140
4/12/2016 8:45:15 AM,139
4/12/2016 8:45:20 AM,133
4/12/2016 8:45:25 AM,131
4/12/2016 8:45:30 AM,133
4/12/2016 8:45:35 AM,135
4/12/2016 8:45:40 AM,136
4/12/2016 8:45:45 AM,140
4/12/2016 8:45:50 AM,142
4/12/2016 8:45:55 AM,141
4/12/2016 8:46:00 AM,142
4/12/2016 8:46:15 AM,142
4/12/2016 8:46:20 AM,139
4/12/2016 8:46:25 AM,140
4/12/2016 8:46:35 AM,139
4/12/2016 8:46:40 AM,139
4/12/2016 8:46:50 AM,139
4/12/2016 8:46:55 AM,138
4/12/2016 8:47:00 AM,138
4/12/2016 8:47:05 AM,138
4/12/2016 8:47:10 AM,137
4/12/2016 8:47:25 AM,137
4/12/2016 8:47:30 AM,138
4/12/2016 8:47:40 AM,137
4/12/2016 8:47:50 AM,137
4/12/2016 8:47:55 AM,134
4/12/2016 8:48:00 AM,131
4/12/2016 8:48:05 AM,130
4/12/2016 8:48:20 AM,129
4/12/2016 8:48:25 AM,129
4/12/2016 8:48:30 AM,127
4/12/2016 8:48:40 AM,126
4/12/2016 8:48:55 AM,126
4/12/2016 8:49:05 AM,125
4/12/2016 8:49:15 AM,123
4/12/2016 8:49:20 AM,118
4/12/2016 8:49:35 AM,118
4/12/2016 8:49:40 AM,117
4/12/2016 8:49:45 AM,116
4/12/2016 8:49:50 AM,114
4/12/2016 8:49:55 AM,114
4/12/2016 8:50:00 AM,115
4/12/2016 8:50:15 AM,115
4/12/2016 8:50:20 AM,110
4/12/2016 8:50:25 AM,110
4/12/2016 8:50:35 AM,109
4/12/2016 8:50:40 AM,108
4/12/2016 8:50:50 AM,108
4/12/2016 8:50:55 AM,108
4/12/2016 8:51:05 AM,106
4/12/2016 8:51:10 AM,104
4/12/2016 8:51:15 AM,103
4/12/2016 8:51:20 AM,101
4/12/2016 8:51:25 AM,101
4/12/2016 8:51:30 AM,100
4/12/2016 8:51:40 AM,101
4/12/2016 8:51:45 AM,99
4/12/2016 8:51:55 AM,98
4/12/2016 8:52:10 AM,98
4/12/2016 8:52:15 AM,97
4/12/2016 8:52:25 AM,98
4/12/2016 8:52:40 AM,97
4/12/2016 8:52:50 AM,96
4/12/2016 8:52:55 AM,94
4/12/2016 8:53:00 AM,95
4/12/2016 8:53:10 AM,94
4/12/2016 8:53:15 AM,94
4/12/2016 8:53:20 AM,95
4/12/2016 8:53:25 AM,96
4/12/2016 8:53:30 AM,95
4/12/2016 8:53:40 AM,94
4/12/2016 8:53:50 AM,97
4/12/2016 8:53:55 AM,98
4/12/2016 8:54:00 AM,99
4/12/2016 8:54:05 AM,104
4/12/2016 8:54:10 AM,105
4/12/2016 8:54:15 AM,108
4/12/2016 8:54:30 AM,108
4/12/2016 8:54:45 AM,107
4/12/2016 8:55:00 AM,107
4/12/2016 8:55:05 AM,91
4/12/2016 8:55:10 AM,85
4/12/2016 8:55:20 AM,84
4/12/2016 8:55:30 AM,83
4/12/2016 8:55:35 AM,82
4/12/2016 8:55:45 AM,81
4/12/2016 8:55:50 AM,81
4/12/2016 8:56:00 AM,82
4/12/2016 8:56:10 AM,83
4/12/2016 8:56:15 AM,84
4/12/2016 8:56:20 AM,86
4/12/2016 8:56:35 AM,86
4/12/2016 8:56:40 AM,86
4/12/2016 8:56:50 AM,87
4/12/2016 8:57:00 AM,86
4/12/2016 8:57:15 AM,86
4/12/2016 8:57:20 AM,85
4/12/2016 8:57:25 AM,88
4/12/2016 8:57:30 AM,91
4/12/2016 8:57:40 AM,90
4/12/2016 8:57:55 AM,90
4/12/2016 8:58:10 AM,91
4/12/2016 8:58:15 AM,92
4/12/2016 8:58:20 AM,93
4/12/2016 8:58:30 AM,95
4/12/2016 8:58:35 AM,98
4/12/2016 8:58:40 AM,101
4/12/2016 8:58:45 AM,103
4/12/2016 8:59:00 AM,103
4/12/2016 8:59:10 AM,105
4/12/2016 8:59:25 AM,106
4/12/2016 8:59:40 AM,106
4/12/2016 8:59:45 AM,108
4/12/2016 8:59:55 AM,107
4/12/2016 9:00:00 AM,108
4/12/2016 9:00:05 AM,107
4/12/2016 9:00:10 AM,105
4/12/2016 9:00:15 AM,103
4/12/2016 9:00:20 AM,101
4/12/2016 9:00:25 AM,101
4/12/2016 9:00:40 AM,100
4/12/2016 9:00:45 AM,99
4/12/2016 9:01:00 AM,99
4/12/2016 9:01:15 AM,99
4/12/2016 9:01:20 AM,85
4/12/2016 9:01:30 AM,81
4/12/2016 9:01:40 AM,81
4/12/2016 9:01:50 AM,79
4/12/2016 9:02:05 AM,78
4/12/2016 9:02:10 AM,79
4/12/2016 9:02:20 AM,77
4/12/2016 9:02:35 AM,77
4/12/2016 9:02:40 AM,73
4/12/2016 9:02:50 AM,77
